,,,actor_behavior,actor_behavior,duration_hours
,,,count,percentage,mean
source,sink,actor_behavior,,,
grounds for refusal,ask stakeholders views,all,3974,1.0,0.35947478051781023
grounds for refusal,ask stakeholders views,continuation,3970,0.9989934574735783,0.023314161768821718
forward to the competent authority,regular procedure without MER,all,3871,1.0,21.48220406728092
forward to the competent authority,regular procedure without MER,continuation,3761,0.9715835701369155,0.005720553044403084
ask stakeholders views,suspension ground applicable,all,3814,1.0,0.5841904824331411
ask stakeholders views,suspension ground applicable,continuation,3809,0.9986890403775563,0.003923820775356611
procedure change,request complete,all,3578,1.0,14.494311222905408
procedure change,request complete,continuation,3485,0.9740078256008944,0.029717360114777616
procedure change,article 34  WABO applies,all,3542,1.0,1.3822946075663467
procedure change,article 34  WABO applies,continuation,3538,0.9988706945228685,0.0028485176810501855
register submission date request,OLO messaging active,all,3250,1.0,110.7987852136752
register submission date request,OLO messaging active,continuation,320,0.09846153846153846,56.450301215277776
OLO messaging active,send confirmation receipt,all,2706,1.0,8.417508417508419e-06
OLO messaging active,send confirmation receipt,continuation,2706,1.0,8.417508417508419e-06
article 34  WABO applies,grounds for refusal,all,2537,1.0,10.867846756886962
article 34  WABO applies,grounds for refusal,continuation,2535,0.9992116673236106,5.259697567389875e-06
treat subcases content,completed subcases content,all,2313,1.0,7.502175385502233
treat subcases content,completed subcases content,continuation,2259,0.9766536964980544,0.30589420097388226
send confirmation receipt,forward to the competent authority,all,2224,1.0,65.70976606215028
send confirmation receipt,forward to the competent authority,continuation,1967,0.8844424460431655,0.031887109529458287
send confirmation receipt,forward to the competent authority,handover_idle,1,0.0004496402877697842,121.86
suspension ground applicable,by law,all,2126,1.0,1.3988972509668653
suspension ground applicable,by law,continuation,2113,0.9938852304797742,0.0057977073145080715
by law,creating environmental permit decision,all,2083,1.0,0.05556449031845095
by law,creating environmental permit decision,continuation,2082,0.99951992318771,0.0005419468459814281
phase application received,send confirmation receipt,all,2076,1.0,1.374660538428602
phase application received,send confirmation receipt,continuation,2054,0.9894026974951831,0.039251460564751706
suspension ground applicable,coordination of application,all,1980,1.0,0.01226837822671156
suspension ground applicable,coordination of application,continuation,1979,0.9994949494949495,0.0001472404693728595
request complete,phase application receptive,all,1978,1.0,0.00016852039096730702
request complete,phase application receptive,continuation,1978,1.0,0.00016852039096730702
treat subcases completeness,subcases completeness completed,all,1946,1.0,4.702244775608085
treat subcases completeness,subcases completeness completed,continuation,1922,0.987667009249743,0.02140565383281304
send confirmation receipt,enter senddate acknowledgement,all,1924,1.0,9.538259990759991
send confirmation receipt,enter senddate acknowledgement,continuation,1395,0.725051975051975,0.9607724014336917
coordination of application,by law,all,1820,1.0,0.000168956043956044
coordination of application,by law,continuation,1820,1.0,0.000168956043956044
regular procedure without MER,create procedure confirmation,all,1798,1.0,2.1628970461006057e-06
regular procedure without MER,create procedure confirmation,continuation,1798,1.0,2.1628970461006057e-06
send confirmation receipt,applicant is stakeholder,all,1750,1.0,0.25900238095238093
send confirmation receipt,applicant is stakeholder,continuation,1748,0.9988571428571429,0.0003869501652682431
